"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CRZO","Carrizo Oil & Gas, Inc.","15.31","1007946404.2","n/a","1997","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crzo",
"CVE","Cenovus Energy Inc","7","8600876417","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cve",
"CDEV","Centennial Resource Development, Inc.","14.35","3591677055.4","n/a","2016","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cdev",
"CGG","CGG","4.58","101369822.42","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cgg",
"CHK","Chesapeake Energy Corporation","4.54","4122625201.5","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/chk",
"CHKR","Chesapeake Granite Wash Trust","2.3","107525000","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/chkr",
"CVX","Chevron Corporation","103.49","196068181950.31","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvx",
"SNP","China Petroleum & Chemical Corporation","77.51","93842294560.96","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/snp",
"CYD","China Yuchai International Limited","19.87","808949427","n/a","1994","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cyd",
"XEC","Cimarex Energy Co","91.6","8711949500.4","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/xec",
"CKX","CKX Lands, Inc.","11.5","22338692.5","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ckx",
"CLD","Cloud Peak Energy Inc","3.53","264946215.05","n/a","2009","Energy","Coal Mining","http://www.nasdaq.com/symbol/cld",
"CEO","CNOOC Limited","109.08","1080504484.2","n/a","2001","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ceo",
"CNXC","CNX Coal Resources LP","15.75","367442806.5","n/a","2015","Energy","Coal Mining","http://www.nasdaq.com/symbol/cnxc",
"CIE","Cobalt International Energy, Inc.","2.38","71131816.84","n/a","2009","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cie",
"CRK","Comstock Resources, Inc.","6.8","104532320","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crk",
"CXO","Concho Resources Inc.","120.75","17921684812.5","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cxo",
"COP","ConocoPhillips","43","53195469979","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cop",
"CNX","CONSOL Energy Inc.","14.55","3347215467.15","n/a","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/cnx",
"MCF","Contango Oil & Gas Company","6.5","166219592.5","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mcf",
"CLR","Continental Resources, Inc.","30.03","11266984739.01","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/clr",
"CLB","Core Laboratories N.V.","102.68","4536692573.68","n/a","1995","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/clb",
"CPG","Crescent Point Energy Corporation","7.14","3891027344.82","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cpg",
"CRT","Cross Timbers Royalty Trust","15.11","90660000","n/a","1992","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crt",
"CAPL","CrossAmerica Partners LP","25.27","852271687.4","n/a","2012","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/capl",
"CCLP","CSI Compressco LP","4.51","155572323.72","n/a","2011","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/cclp",
"CMI","Cummins Inc.","164.7","27665514945.9","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cmi",
"CVI","CVR Energy Inc.","21.63","1878155611.5","n/a","2007","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvi",
"CVRR","CVR Refining, LP","9.45","1394820000","n/a","2013","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvrr",
"CELP","Cypress Energy Partners, L.P.","7.26","86239180.5","n/a","2014","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/celp",
"DWSN","Dawson Geophysical Company","3.87","83913716.97","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dwsn",
"DKL","Delek Logistics Partners, L.P.","32.2","783381145.4","n/a","2012","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/dkl",
"DK","Delek US Holdings, Inc.","26.64","1652545160.64","n/a","2017","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/dk",
"DNR","Denbury Resources Inc.","1.52","605472848","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dnr",
"DVN","Devon Energy Corporation","29.54","15529178000","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dvn",
"DO","Diamond Offshore Drilling, Inc.","10.22","1402430874.32","n/a","1995","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/do",
"FANG","Diamondback Energy, Inc.","86.09","8447843221.87","n/a","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fang",
"DMLP","Dorchester Minerals, L.P.","14.9","457063921.9","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dmlp",
"DRQ","Dril-Quip, Inc.","47.65","1802808778.8","n/a","1997","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/drq",
"ESTE","Earthstone Energy, Inc.","9.36","550185695.28","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/este",
"ECT","ECA Marcellus Trust I","2.1","36970500","n/a","2010","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ect",
"ECR","Eclipse Resources Corporation","2.71","711606027.5","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ecr",
"EC","Ecopetrol S.A.","8.78","18050228964.52","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ec",
"ESES","Eco-Stim Energy Solutions, Inc.","1.2901","57495404.2026","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/eses",
"EMR","Emerson Electric Company","59.47","38327233450.04","n/a","n/a","Energy","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/emr",
"EEQ","Enbridge Energy Management LLC","15.56","1306788099.16","n/a","2002","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eeq",
"EEP","Enbridge Energy, L.P.","16.06","7038033527.14","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/eep",
"ENB","Enbridge Inc","39.81","65246262826.83","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/enb",
"ECA","Encana Corporation","8.39","8164512356.82","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eca",
"NDRO","Enduro Royalty Trust","3.3","108900000","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ndro",
"EGN","Energen Corporation","47.63","4629084349.34","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/egn",
"ETP","Energy Transfer Partners, L.P.","20.2","27651957174.2","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/etp",
"EXXI","Energy XXI Gulf Coast, Inc.","19.58","650283010.52","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/exxi",
"ENRJ","EnerJex Resources, Inc.","0.3","2946419.1","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/enrj",
