"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ASRV","AmeriServ Financial Inc.","4","74675136","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","27.7432","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp",
"ATLO","Ames National Corporation","30.6","284913937.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/atlo",
"AFSI","AmTrust Financial Services, Inc.","15.3","2988789913.8","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afsi",
"AFSS","AmTrust Financial Services, Inc.","25.36","0","n/a","2015","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afss",
"AFST","AmTrust Financial Services, Inc.","25.86","0","n/a","2015","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afst",
"ANCB","Anchor Bancorp","25.0488","62740731.312","n/a","2011","Finance","Banks","http://www.nasdaq.com/symbol/ancb",
"ANDA","Andina Acquisition Corp. II","10.14","53843400","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/anda",
"ANDAR","Andina Acquisition Corp. II","0.46","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/andar",
"ANDAU","Andina Acquisition Corp. II","10.95","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/andau",
"ANDAW","Andina Acquisition Corp. II","0.255","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/andaw",
"AON","Aon plc","135.01","35382072725.15","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/aon",
"APO","Apollo Global Management, LLC","26.34","10706112570.24","n/a","2011","Finance","Investment Managers","http://www.nasdaq.com/symbol/apo",
"ACGL","Arch Capital Group Ltd.","95.23","12443963125.6","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/acgl",
"ACGLP","Arch Capital Group Ltd.","24.55","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/acglp",
"ARES","Ares Management L.P.","18.05","3821558869.65","n/a","2014","Finance","Investment Managers","http://www.nasdaq.com/symbol/ares",
"AGII","Argo Group International Holdings, Ltd.","61.65","1861213869.9","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/agii",
"AGIIL","Argo Group International Holdings, Ltd.","25.33","0","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/agiil",
"AI","Arlington Asset Investment Corp","13.7","326653812.8","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/ai",
"AIC","Arlington Asset Investment Corp","24.5965","0","n/a","2015","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/aic",
"AIW","Arlington Asset Investment Corp","25","0","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/aiw",
"AHH","Armada Hoffler Properties, Inc.","12.79","574464576.65","n/a","2013","Finance","Real Estate","http://www.nasdaq.com/symbol/ahh",
"AROW","Arrow Financial Corporation","31.9","430802832.9","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/arow",
"AJG","Arthur J. Gallagher & Co.","57.71","10359752940","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/ajg",
"APAM","Artisan Partners Asset Management Inc.","30.85","2331985589.25","n/a","2013","Finance","Investment Managers","http://www.nasdaq.com/symbol/apam",
"ASBB","ASB Bancorp, Inc.","44.45","168377711.25","n/a","2011","Finance","Savings Institutions","http://www.nasdaq.com/symbol/asbb",
"AHL","Aspen Insurance Holdings Limited","51.3","3077406664.2","n/a","2003","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ahl",
"ASB","Associated Banc-Corp","25.55","3891772269.7","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asb",
"AC","Associated Capital Group, Inc.","34","823774508","n/a","2015","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ac",
"AIZ","Assurant, Inc.","105.32","5770271949.36","n/a","2004","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/aiz",
"AGO","Assured Guaranty Ltd.","42.81","5215039282.5","n/a","2004","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ago",
"ASFI","Asta Funding, Inc.","7.5","49216612.5","n/a","1995","Finance","Finance Companies","http://www.nasdaq.com/symbol/asfi",
"AF","Astoria Financial Corporation","20.51","2086392855.89","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/af",
"ATH","Athene Holding Ltd.","49.27","9865843374.79","n/a","2016","Finance","Life Insurance","http://www.nasdaq.com/symbol/ath",
"AAME","Atlantic American Corporation","3.6","73492527.6","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aame",
"ACBI","Atlantic Capital Bancshares, Inc.","19.3","493670801.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acbi",
"ACFC","Atlantic Coast Financial Corporation","7.87","122407689.83","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/acfc",
"ATLC","Atlanticus Holdings Corporation","2.59","39998364.56","n/a","1995","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atlc",
"AFH","Atlas Financial Holdings, Inc.","14.35","172640588.05","n/a","2013","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afh",
"AFHBL","Atlas Financial Holdings, Inc.","26.59","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afhbl",
